patrimonio_humanidad_id,patrimonio_humanidad_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
38,Acueducto del Padre Tembleque,65,Otumba,-98.66236,19.83606
17,Ciudad Prehispánica de Teotihuacán,92,Teotihuacán,-98.84584,19.69383
