museo_id,museo_nombre,municipio_id,nom_mun,gmaps_longitud,gmaps_latitud
1934,Pinacoteca Los Autonomistas ,106,Toluca,-99.65364,19.28574
2162,Casa Museo Toluca 1920 ,106,Toluca,-99.66039,19.29032
1931,Museo  Auditorio PetStar ,106,Toluca,-99.71852,19.42012
493,Museo  del Paisaje José María Velasco,106,Toluca,-99.6579,19.29302
1402,"Museo Gabinetes de Física, Química y Medicina",106,Toluca,-99.66035,19.2735
1807,Museo de la Inquisición procesos y torturas,106,Toluca,-99.65438,19.29397
1755,Museo del Instituto Pedro Nolasco ,106,Toluca,-99.66103,19.28796
1371,Museo de Historia Universitaria José María Morelos y Pavón,106,Toluca,-99.65364,19.28578
451,Museo Universitario Leopoldo Flores,106,Toluca,-99.67826,19.28648
2215,Planetario Parque de la Ciencia Fundadores,106,Toluca,-99.65523,19.29427
450,Museo Universitario de Historia Natural  Manuel M. Villada,106,Toluca,-99.65378,19.28575
1471,Museo Galería de Arte Mexiquense Torres Bicentenario,106,Toluca,-99.62933,19.28752
481,Museo de Numismática del Estado de México,106,Toluca,-99.70265,19.273
1748,Museo Salón de la Fama del Deportivo Toluca,106,Toluca,-99.66584,19.28764
489,Museo de la Estampa del Estado de México,106,Toluca,-99.6619,19.28912
51,Cosmovitral Jardín Botánico de Toluca,106,Toluca,-99.65371,19.29354
498,Museo de Bellas Artes de Toluca,106,Toluca,-99.65622,19.29431
487,Museo Felipe Santiago Gutiérrez,106,Toluca,-99.65795,19.29326
485,Museo Taller Nishizawa,106,Toluca,-99.65794,19.29354
1369,Museo Observatorio Meteorológico Mariano Bárcena,106,Toluca,-99.6534,19.2865
1756,Museo de Sitio de Calixtlahuaca,106,Toluca,-99.6945,19.3337
499,Museo Hacienda La Pila,106,Toluca,-99.70169,19.27255
500,Museo de Antropología e Historia,106,Toluca,-99.70165,19.27395
488,Museo de Arte Moderno del Estado de México,106,Toluca,-99.70327,19.27189
2308,Museo Nacional de la Pirotecnia (Munapi) ,108,Tultepec,-99.12833,19.68555
792,Museo Comunitario de Tultitlán,109,Tultitlán,0.0,0.0
1472,Museo Arqueológico de Valle de Bravo,110,Valle de Bravo,-100.13002,19.1871
281,Museo Joaquín Arcadio Pagaza,110,Valle de Bravo,-100.13027,19.1924
262,Museo Virreinal de Zinacantepec   ,118,Zinacantepec,-99.73562,19.28299
2220,Museo Paleontológico de Santa Lucía Quinametzin,120,Zumpango,-98.98718,19.73797
1529,Museo Militar de Aviación Tte. P.A. José Espinosa Fuentes,120,Zumpango,-98.98063,19.74908
2166,Museo de la Brigada de Fusileros Paracaidistas,120,Zumpango,-98.98367,19.72991
799,Museo Comunitario del Valle de Xico,122,Valle de Chalco Solidaridad,-98.93559,19.27411
