id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo,Hora_Apertura,Hora_Cierre,Tiempo_Prom_Estancia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
41,San Buenaventura,24,Cuautitlán,-99.17939,19.66907,Catedral,8.0,20.0,1.0,1,1,1,1,1,1,1
42,Sagrado Corazón de Jesús,33,Ecatepec de Morelos,-99.04665,19.59951,Catedral,8.0,20.0,1.0,1,1,1,1,1,1,1
43,Jesús Señor de la Misericordia,58,Nezahualcóyotl,-99.00063,19.40929,Catedral,8.0,20.0,1.0,1,1,1,1,1,1,1
44,Corpus Cristi,104,Tlalnepantla de Baz,-99.19483,19.5379,Catedral,8.0,20.0,1.0,1,1,1,1,1,1,1
45,San José,106,Toluca,-99.65725,19.29182,Catedral,8.0,20.0,1.0,1,1,1,1,1,1,1
46,Centro Regional de Cultura de Acambay Dr. Maximiliano Ruiz Castañeda,1,Acambay de Ruíz Castañeda,-99.84527,19.95399,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
47,Casa de Cultura Aculmaitl,2,Acolman,-98.91201,19.63406,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
48,Casa de Cultura Aculco,3,Aculco,-99.8274,20.09893,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
50,Casa de Cultura Ignacio Manuel Altamirano,6,Almoloya del Río,-99.48889,19.15949,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
52,Casa de Cultura Municipal Profr. Enrique Gómez García,8,Amatepec,-100.18722,18.68456,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
53,Casa del Pueblo Amecameca,9,Amecameca,-98.77535,19.13204,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
54,Centro Regional de Cultura de Apaxco,10,Apaxco,-99.1746,19.97633,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
55,Centro Cultural Atenco José Enrique Espinoza Suárez,11,Atenco,-98.91674,19.55239,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
57,Centro Regional de Cultura Atizapán de Zaragoza Lic. Adolfo López Mateos,13,Atizapán de Zaragoza,-99.23553,19.57263,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
58,Centro Cultural La Cuadra de Luis Barragán,13,Atizapán de Zaragoza,-99.22586,19.57548,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
59,Centro Cultural Calacoaya,13,Atizapán de Zaragoza,-99.235,19.54317,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
60,Centro Regional de Cultura de Atlacomulco Lic. Isidro Fabela,14,Atlacomulco,-99.87377,19.79849,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
63,Casa Cultura Aquiauhtzin,17,Ayapango,-98.80132,19.12639,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
64,Casa de Cultura de Calimaya,18,Calimaya,-99.61861,19.16323,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
67,Centro Cultural Baálamk'aan House Theater,20,Coacalco de Berriozábal,-99.10657,19.63405,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
69,Casa de Cultura Cocotli,22,Cocotitlán,-98.86565,19.23612,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
71,Casa de la Cultura Luis Nishizawa Flores,24,Cuautitlán,-99.1812,19.6683,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
72,Centro Regional de Cultura de Chalco Chimalpahín,25,Chalco,-98.89978,19.26402,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
77,Casa de Cultura Chimalhuacán,31,Chimalhuacán,-98.9456,19.41813,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
78,Casa de Cultura Lic. Adolfo López Mateos,32,Donato Guerra,-100.14325,19.30842,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
79,Centro Cultural del ISSSTE de Ecatepec,33,Ecatepec de Morelos,-99.05169,19.56528,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
80,Centro Regional de Cultura de Ecatepec José María Morelos y Pavón,33,Ecatepec de Morelos,-99.04759,19.59958,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
81,Centro Cultural y Recreativo de Ecatepec,33,Ecatepec de Morelos,-99.04497,19.51207,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
83,Centro Socio Cultural El Dorado,35,Huehuetoca,-99.2032,19.88451,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
