id,nombre,municipio_id,nombre_municipio,longitud,latitud,tipo,Hora_Apertura,Hora_Cierre,Tiempo_Prom_Estancia,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
229,Casa de Cultura Tecualoyan,113,Villa Guerrero,-99.64233,18.9621,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
233,Casa de la Cultura Sor Juana Inés de la Cruz,116,Zacazonapan,-100.25554,19.07078,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
234,Casa de la Cultura Joaquín Velázquez Cárdenas y León,117,Zacualpan,-99.77493,18.72368,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
236,Casa de la Cultura Wenceslao Labra,120,Zumpango,-99.10123,19.79969,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
237,Centro Regional de Cultura de Cuautitlán Izcalli,121,Cuautitlán Izcalli,-99.20536,19.6581,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
238,Casa de Cultura de Tononitla,125,Tonanitla,-99.05064,19.68721,Centro cultural,10.0,22.0,2.0,0,1,1,1,1,1,1
240,Fototeca del Centro de Documentación e Investigación de la Comunidad Judío de México,57,Naucalpan de Juárez,-99.23821,19.42323,Fototeca,10.0,18.0,1.5,0,1,1,1,1,1,0
241,Fototeca del Centro de Estudios Teotihuacanos,75,San Martín de las Pirámides,-98.86082,19.71209,Fototeca,10.0,18.0,1.5,0,1,1,1,1,1,0
242,Fototeca del Museo Nacional del Virreinato,95,Tepotzotlán,-99.22166,19.71318,Fototeca,10.0,18.0,1.5,0,1,1,1,1,1,0
243,Fototeca del Centro INAH Estado de México (CINAHEM),106,Toluca,-99.65831,19.28977,Fototeca,10.0,18.0,1.5,0,1,1,1,1,1,0
244,Galería del Centro Regional de Cultura Atizapán de Zaragoza,13,Atizapán de Zaragoza,-99.23544,19.57215,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
245,Galeria de Arte del Genoma Mesoamericano,33,Ecatepec de Morelos,-99.05199,19.59686,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
246,"Galería de la Alianza Francesa, Suc. Interlomas",37,Huixquilucan,-99.26934,19.40277,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
247,Galería de Arte y Antiguedades Tarentum,37,Huixquilucan,-99.27008,19.40219,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
248,Recoleta Gouda Art Gallery,37,Huixquilucan,-99.27047,19.40121,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
249,Galería Bertozzi,37,Huixquilucan,-99.28156,19.40385,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
250,Sala de Exposición Xochipilli,39,Ixtapaluca,-98.88408,19.31729,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
251,Galería Leopoldo Flores,42,Ixtlahuaca,-99.75453,19.57291,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
252,Galería Andrés Molina,52,Malinalco,-99.50096,18.95215,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
253,"MONOMONO, Galería de Arte y Estudio",54,Metepec,-99.61049,19.25835,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
254,Galería Carlos & Albert Metepec,54,Metepec,-99.60572,19.26699,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
255,Galería de Arte,54,Metepec,-99.59137,19.2503,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
256,Sala de Arte Emma Rizo,57,Naucalpan de Juárez,-99.24713,19.48418,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
257,Sala de Arte Javier Barros Sierra,57,Naucalpan de Juárez,-99.24741,19.4844,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
258,Casa de Arte y Galería ÓLEO,57,Naucalpan de Juárez,-99.25021,19.51723,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
259,Galería Taquera,58,Nezahualcóyotl,-99.01594,19.40859,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
260,Galería José Luis Cuevas,104,Tlalnepantla de Baz,-99.19575,19.53642,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
261,"Galería de Arte del Tecnológico de Monterrey, campus Toluca",106,Toluca,-99.70635,19.27001,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
262,Galería Universitaria Fernando Cano,106,Toluca,-99.65365,19.28586,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
263,Galería de arte de la plaza González Arratia,106,Toluca,-99.65783,19.291,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
264,Tollocan Galería,106,Toluca,-99.67332,19.28035,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
265,Galería Cafetería,106,Toluca,-99.7032,19.27163,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
266,Galería Arte AIT,106,Toluca,-99.56874,19.33411,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
267,Galeria Tatiana H. Rajkov,110,Valle de Bravo,-100.12381,19.1637,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
268,Victoria Gallery,110,Valle de Bravo,-100.13017,19.18957,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
269,Galería Venado Azul,110,Valle de Bravo,-100.12874,19.1898,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
270,Arthouse Gallery,110,Valle de Bravo,-100.12841,19.18825,Galeria,11.0,19.0,1.0,0,0,1,1,1,1,1
271,Museo Regional de Acambay Antonio Ruiz Pérez,1,Acambay de Ruíz Castañeda,-99.84583,19.95528,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
272,Museo Virreinal de Acolman,2,Acolman,-98.91309,19.63218,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
273,Museo Prehistórico de Tepexpan,2,Acolman,-98.9474,19.61377,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
274,Museo de Sor Juana Inés de la Cruz,9,Amecameca,-98.77167,19.14163,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
275,Museo Internacional de los Volcanes,9,Amecameca,-98.7726,19.14051,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
276,Museo de Historia Natural de Casa del Pueblo Amecameca,9,Amecameca,-98.77551,19.13211,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
277,Museo Arqueológico Apaxco,10,Apaxco,-99.17455,19.97585,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
278,Museo Adolfo López Mateos,13,Atizapán de Zaragoza,-99.24807,19.56311,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
279,Museo Isidro Fabela,14,Atlacomulco,-99.87367,19.79841,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
280,Museo Histórico de Atlacomulco,14,Atlacomulco,-99.8805,19.79843,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
281,Museo Paleontológico Comunitario de la Magdalena Huizachitla,20,Coacalco de Berriozábal,-99.08886,19.63482,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
282,"Santuario de la Siempre Virgen María de Guadalupe, Casa de San Juan Diego",24,Cuautitlán,-99.19189,19.66826,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
283,Casa Museo de Cartonería,25,Chalco,-98.93202,19.21113,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
284,Museo del Centro Regional de Cultura de Chalco Chimalpahin,25,Chalco,-98.89952,19.26293,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
285,Museo Comunitario del Pueblo de Tezompa,25,Chalco,-98.96121,19.20671,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
286,Planetario Digital de Chimalhuacán,31,Chimalhuacán,-98.96232,19.40758,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
287,Museo de Sitio de Chimalhuacán,31,Chimalhuacán,-98.94726,19.41786,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
288,Museo Municipal Canto del Cincel,31,Chimalhuacán,-98.98388,19.41924,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
289,Museo Chimaltonalli,31,Chimalhuacán,-98.94407,19.41945,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
290,"Planetario El Gran Ehécatl, Los Hijos del Dios del Viento",33,Ecatepec de Morelos,-99.0541,19.59557,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
291,Museo de la Pluma. Ing. Jesús Humberto Rodríguez Lozano,33,Ecatepec de Morelos,-99.04056,19.51069,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
292,"Centro Comunitario Ecatepec, Casa de Morelos",33,Ecatepec de Morelos,-99.03565,19.60036,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
293,Museo de Sitio de Vestigios Arqueológicos del Parque Ecológico Ehécatl,33,Ecatepec de Morelos,-99.0541,19.59557,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
294,Museo Jurasica,33,Ecatepec de Morelos,-99.05542,19.59379,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
295,Museo de Historia Natural de Ecatepec,33,Ecatepec de Morelos,-99.03683,19.54688,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
296,Parque Museo del Ferrocarril de Huehuetoca,35,Huehuetoca,-99.2027,19.83545,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
297,Museo de Huixquilucan,37,Huixquilucan,-99.34124,19.35803,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
298,Museo Tlotzin Pochotl,39,Ixtapaluca,-98.8844,19.31492,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
299,Museo de Sitio de Coatepec,39,Ixtapaluca,-98.84732,19.38531,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
300,Museo Comunitario Xochiltepetl,50,Juchitepec,-98.88117,19.09858,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
301,"Zanbatha, Museo del Valle de la Luna",51,Lerma,-99.51022,19.28657,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
302,Museo Universitario Dr. Luis Mario Schneider,52,Malinalco,-99.50115,18.95084,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
303,Sala Introductoria a la Zona Arqueológica de Malinalco,52,Malinalco,-99.5034,18.95347,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
304,Museo del Barro,54,Metepec,-99.60202,19.25019,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
305,Museo del Agua,57,Naucalpan de Juárez,-99.23986,19.45956,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
306,Museo Salón Deporte,57,Naucalpan de Juárez,-99.215,19.45754,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
307,Museo Tlatilca,57,Naucalpan de Juárez,-99.23203,19.47914,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
308,Museo Nezahualcóyotl Acomiztli,58,Nezahualcóyotl,-99.03341,19.421,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
309,Museo Arqueológico de Nextlalpan (en proceso de remodelación),59,Nextlalpan,-99.05104,19.72379,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
310,Museo Textil Industrial de San Ildefonso,60,Nicolás Romero,-99.2956,19.61981,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
311,Museo Dr. José María Luis Mora,62,Ocoyoacac,-99.4609,19.27427,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
312,Museo Arqueológico Colonial de Ocuilan,63,Ocuilan,-99.41604,18.97935,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
313,Museo de la Minería de El Oro,64,El Oro,-100.13284,19.79848,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
314,Museo del Ferrocarril en Otumba,65,Otumba,-98.75696,19.70877,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
315,Ex Convento de Oxtotipac,65,Otumba,-98.7927,19.6558,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
316,Casa Museo Gonzalo Carrasco,65,Otumba,-98.75742,19.69981,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
317,Museo Municipal Techialoyan Tepemaxalco,73,San Antonio la Isla,-99.56917,19.1641,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
318,Museo de Murales Teotihuacanos Beatriz de la Fuente,75,San Martín de las Pirámides,-98.8471,19.70039,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
319,Sala museográfica de la Casa de Cultura Dr. José María Cos,80,Sultepec,-99.96689,18.85786,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
320,Museo de Sitio de San Miguel Ixtapan,82,Tejupilco,-100.15498,18.807,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
321,Museo Casa de Madera,89,Tenango del Aire,-98.85558,19.15722,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
322,Museo Arqueológico Dr. Román Piña Chan,90,Tenango del Valle,-99.59598,19.11048,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
323,Museo Comunitario Quetzalpapalotl,92,Teotihuacán,-98.86924,19.68346,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
324,Museo de la Cultura Teotihuacana (museo de sitio),92,Teotihuacán,-98.84957,19.68292,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
325,Museo Eremitorio de Fray Domingo de Betanzos,93,Tepetlaoxtoc,-98.82467,19.57314,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
326,Museo-Casa Juana Inés,94,Tepetlixpa,-98.83972,18.98005,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
327,Museo Nacional del Virreinato,95,Tepotzotlán,-99.22151,19.71338,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
328,Museo del Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89648,19.45188,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
329,Museo de sitio del Parque Ecológico Lago de Texcoco,99,Texcoco,-98.97872,19.48504,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
330,Museo del Deporte del Estado de México,99,Texcoco,-98.89817,19.45256,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
331,Museo de Biología,99,Texcoco,-98.88874,19.48945,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
332,Museo Regional del Pulque y el Maguey Texcoco,99,Texcoco,-98.88293,19.50666,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
333,Museo de Geología Dr. José Guadalupe Aguilera Serrano,99,Texcoco,-98.88653,19.49438,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
334,Museo Nacional de Agricultura,99,Texcoco,-98.88896,19.4921,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
335,Museo Paleontológico de Tocuila,99,Texcoco,-98.90793,19.52065,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
336,Museo Comunitario Nonohualca,103,Tlalmanalco,-98.80248,19.20597,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
337,Museo Xólotl. San Bartolo Tenayuca,104,Tlalnepantla de Baz,-99.16787,19.53239,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
338,Museo de la Escultura Mexica Eusebio Dávalos Hurtado,104,Tlalnepantla de Baz,-99.17378,19.55243,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
339,Museo Hacienda de Santa Mónica,104,Tlalnepantla de Baz,-99.23149,19.52884,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
340,Museo del Heroico Cuerpo de Bomberos Toluca,106,Toluca,-99.63727,19.28726,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
341,Museo de Ciencias Naturales Edomex.,106,Toluca,-99.66083,19.28318,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
342,Museo de la Acuarela del Estado de México,106,Toluca,-99.6611,19.28967,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
343,Museo del Alfeñique,106,Toluca,-99.64988,19.29204,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
344,Pinacoteca Los Autonomistas,106,Toluca,-99.65364,19.28574,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
345,Casa Museo Toluca 1920,106,Toluca,-99.66039,19.29032,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
346,Museo Auditorio PetStar,106,Toluca,-99.71852,19.42012,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
347,Museo del Paisaje José María Velasco,106,Toluca,-99.6579,19.29302,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
348,"Museo Gabinetes de Física, Química y Medicina",106,Toluca,-99.66035,19.2735,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
349,Museo de la Inquisición procesos y torturas,106,Toluca,-99.65438,19.29397,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
350,Museo del Instituto Pedro Nolasco,106,Toluca,-99.66103,19.28796,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
351,Museo de Historia Universitaria José María Morelos y Pavón,106,Toluca,-99.65364,19.28578,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
352,Museo Universitario Leopoldo Flores,106,Toluca,-99.67826,19.28648,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
353,Planetario Parque de la Ciencia Fundadores,106,Toluca,-99.65523,19.29427,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
354,Museo Universitario de Historia Natural Manuel M. Villada,106,Toluca,-99.65378,19.28575,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
355,Museo Galería de Arte Mexiquense Torres Bicentenario,106,Toluca,-99.62933,19.28752,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
356,Museo de Numismática del Estado de México,106,Toluca,-99.70265,19.273,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
357,Museo Salón de la Fama del Deportivo Toluca,106,Toluca,-99.66584,19.28764,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
358,Museo de la Estampa del Estado de México,106,Toluca,-99.6619,19.28912,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
359,Cosmovitral Jardín Botánico de Toluca,106,Toluca,-99.65371,19.29354,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
360,Museo de Bellas Artes de Toluca,106,Toluca,-99.65622,19.29431,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
361,Museo Felipe Santiago Gutiérrez,106,Toluca,-99.65795,19.29326,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
362,Museo Taller Nishizawa,106,Toluca,-99.65794,19.29354,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
363,Museo Observatorio Meteorológico Mariano Bárcena,106,Toluca,-99.6534,19.2865,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
364,Museo de Sitio de Calixtlahuaca,106,Toluca,-99.6945,19.3337,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
365,Museo Hacienda La Pila,106,Toluca,-99.70169,19.27255,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
366,Museo de Antropología e Historia,106,Toluca,-99.70165,19.27395,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
367,Museo de Arte Moderno del Estado de México,106,Toluca,-99.70327,19.27189,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
368,Museo Nacional de la Pirotecnia (Munapi),108,Tultepec,-99.12833,19.68555,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
370,Museo Arqueológico de Valle de Bravo,110,Valle de Bravo,-100.13002,19.1871,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
371,Museo Joaquín Arcadio Pagaza,110,Valle de Bravo,-100.13027,19.1924,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
372,Museo Virreinal de Zinacantepec,118,Zinacantepec,-99.73562,19.28299,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
373,Museo Paleontológico de Santa Lucía Quinametzin,120,Zumpango,-98.98718,19.73797,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
374,Museo Militar de Aviación Tte. P.A. José Espinosa Fuentes,120,Zumpango,-98.98063,19.74908,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
375,Museo de la Brigada de Fusileros Paracaidistas,120,Zumpango,-98.98367,19.72991,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
376,Museo Comunitario del Valle de Xico,122,Valle de Chalco Solidaridad,-98.93559,19.27411,Museo,9.0,17.0,2.0,0,1,1,1,1,1,1
377,Acueducto del Padre Tembleque,65,Otumba,-98.66236,19.83606,Patrimonio de la Humanidad,8.0,18.0,2.5,1,1,1,1,1,1,1
378,Ciudad Prehispánica de Teotihuacán,92,Teotihuacán,-98.84584,19.69383,Patrimonio de la Humanidad,8.0,18.0,2.5,1,1,1,1,1,1,1
379,"Foro La Esperanza, Casa del Pueblo",9,Amecameca,-98.77551,19.13211,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
380,Teatro del Pueblo,14,Atlacomulco,-99.87327,19.79862,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
381,Teatro Auditorio Humberto Vidal Mendoza,31,Chimalhuacán,-98.98445,19.41804,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
382,Centro de Artes José Pablo Moncayo,35,Huehuetoca,-99.21889,19.83381,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
384,Foro Cultural Tiempo y Espacio Thaay,51,Lerma,-99.51163,19.28555,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
385,Teatro Municipal 'Malinalxóchitl',52,Malinalco,-99.49668,18.94976,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
386,Teatro Metepec,54,Metepec,-99.60486,19.26407,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
387,Teatro Cuauhtémoc IMSS Naucalpan,57,Naucalpan de Juárez,-99.23062,19.47475,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
388,Teatro Javier Barros Sierra,57,Naucalpan de Juárez,-99.24844,19.48564,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
389,Teatro de la Ciudad Bicentenario,57,Naucalpan de Juárez,-99.23389,19.47754,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
390,Foro Felipe Villanueva,57,Naucalpan de Juárez,-99.241,19.4946,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
391,Soñario Teatro,58,Nezahualcóyotl,-99.02475,19.40748,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
392,Teatro Centenario,60,Nicolás Romero,-99.31666,19.6231,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
394,Teatro Sor Juana Ines de la Cruz,76,San Mateo Atenco,-99.52782,19.26476,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
395,Teatro Principal Abundio Gómez,90,Tenango del Valle,-99.59161,19.10403,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
397,Teatro al Aire Libre del Centro Regional de Cultura de Texcoco,99,Texcoco,-98.87975,19.51373,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
398,Teatro al Aire Libre del Centro Cultural Mexiquense Bicentenario,99,Texcoco,-98.89666,19.45166,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
399,Teatro Elisa Carrillo,99,Texcoco,-98.89705,19.45206,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
400,Teatro Lupita,101,Tianguistenco,-99.4656,19.18659,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
401,Foro al aire libre Algarabía,104,Tlalnepantla de Baz,-99.19458,19.53686,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
402,Teatro Centenario,104,Tlalnepantla de Baz,-99.20428,19.53869,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
403,Teatro Eugenia León,104,Tlalnepantla de Baz,-99.19303,19.53647,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
404,Teatro Santa Cecilia,104,Tlalnepantla de Baz,-99.17425,19.55415,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
405,"Foro teatral Alberto Antonio Salgado Barrientos, Facultad de Humanidades",106,Toluca,-99.67744,19.27968,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
406,Teatro Morelos,106,Toluca,-99.65924,19.29207,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
407,Teatro Sor Juana Inés de la Cruz,106,Toluca,-99.64693,19.28962,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
408,Teatro Universitario Los Jaguares,106,Toluca,-99.65954,19.28588,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
410,Cine Teatro Tonatiuh,107,Tonatico,-99.67091,18.80196,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
411,Teatro San Benito Abad,121,Cuautitlán Izcalli,-99.2398,19.6356,Teatro,16.0,23.0,2.5,0,0,0,1,1,1,1
412,Huamango,1,Acambay de Ruíz Castañeda,-99.86596,19.97916,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
413,Chimalhuacán,31,Chimalhuacán,-98.94708,19.41816,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
414,Acozac Ixtapaluca,39,Ixtapaluca,-98.88417,19.3131,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
415,Tlapacoya,39,Ixtapaluca,-98.91287,19.30182,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
416,Malinalco,52,Malinalco,-99.50294,18.95321,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
417,El Conde,57,Naucalpan de Juárez,-99.23102,19.47055,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
418,Ocoyoacac,62,Ocoyoacac,-99.47189,19.28254,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
419,Los Reyes La Paz,70,La Paz,-98.98357,19.3525,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
420,San Miguel Ixtapan,82,Tejupilco,-100.15489,18.80661,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
421,Teotenango,90,Tenango del Valle,-99.59764,19.10845,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
422,Teotihuacán,92,Teotihuacán,-98.84599,19.69314,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
423,Tetzcotzinco,99,Texcoco,-98.81791,19.49701,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
424,Tocuila (cerrado temporalmente),99,Texcoco,-98.90794,19.52047,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
425,Huexotla,99,Texcoco,-98.87187,19.47723,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
426,Los Melones,99,Texcoco,-98.88135,19.50878,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
427,Tenayuca II,104,Tlalnepantla de Baz,-99.16933,19.53504,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
428,Tenayuca,104,Tlalnepantla de Baz,-99.16848,19.53213,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
429,Santa Cecilia Acatitlán,104,Tlalnepantla de Baz,-99.17345,19.55266,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
430,Calixtlahuaca,106,Toluca,-99.69299,19.33374,Zona Arqueologica,7.0,17.0,3.0,1,1,1,1,1,1,1
